Date,Temp,Weather
2026-03-27 18:00:00,27.02,scattered clouds
2026-03-27 21:00:00,24.79,clear sky
2026-03-28 00:00:00,22.89,light rain
2026-03-28 03:00:00,26.3,clear sky
2026-03-28 06:00:00,31.19,clear sky
2026-03-28 09:00:00,31,light rain
2026-03-28 12:00:00,29.03,broken clouds
2026-03-28 15:00:00,27,light rain
2026-03-28 18:00:00,22.93,light rain
2026-03-28 21:00:00,23.46,scattered clouds
2026-03-29 00:00:00,22.55,scattered clouds
2026-03-29 03:00:00,25.48,overcast clouds
2026-03-29 06:00:00,31.63,broken clouds
2026-03-29 09:00:00,30.05,light rain
2026-03-29 12:00:00,28.55,light rain
2026-03-29 15:00:00,28.78,overcast clouds
2026-03-29 18:00:00,25.66,overcast clouds
2026-03-29 21:00:00,24.06,broken clouds
2026-03-30 00:00:00,22.87,broken clouds
2026-03-30 03:00:00,26.34,overcast clouds
2026-03-30 06:00:00,31.7,overcast clouds
2026-03-30 09:00:00,32.25,overcast clouds
2026-03-30 12:00:00,30.03,overcast clouds
2026-03-30 15:00:00,28.11,light rain
2026-03-30 18:00:00,25.57,overcast clouds
2026-03-30 21:00:00,24.11,overcast clouds
2026-03-31 00:00:00,23.41,overcast clouds
2026-03-31 03:00:00,25.79,broken clouds
2026-03-31 06:00:00,30.93,overcast clouds
2026-03-31 09:00:00,33.45,broken clouds
2026-03-31 12:00:00,32.13,broken clouds
2026-03-31 15:00:00,29.6,overcast clouds
2026-03-31 18:00:00,25.57,broken clouds
2026-03-31 21:00:00,23.68,few clouds
2026-04-01 00:00:00,22.27,few clouds
2026-04-01 03:00:00,25.51,clear sky
2026-04-01 06:00:00,31.55,clear sky
2026-04-01 09:00:00,33.54,clear sky
2026-04-01 12:00:00,32.76,clear sky
2026-04-01 15:00:00,28.07,scattered clouds
